"UT","DT","TC","PY","Department"
"QUIRK2014262","ARTICLE",3,2014,"Biomedical Engineering"
"BROWN20141911","ARTICLE",6,2014,"Biomedical Engineering"
"KEHOE201484","ARTICLE",3,2014,"Biomedical Engineering"
"DICKEY2014191","ARTICLE",1,2014,"Biomedical Engineering"
"MACDOUGALL2014","CONFERENCE",0,2014,"Biomedical Engineering"
"QUICK2014","ARTICLE",3,2014,"Biomedical Engineering"
"ZHANG2014","ARTICLE",1,2014,"Biomedical Engineering"
"MOMENI20145256","ARTICLE",7,2014,"Biomedical Engineering"
"ORTON2014125","ARTICLE",4,2014,"Biomedical Engineering"
"HONG2014471","ARTICLE",5,2014,"Biomedical Engineering"
"TAM2014349","ARTICLE",31,2014,"Biomedical Engineering"
"WANG2014501","ARTICLE",4,2014,"Biomedical Engineering"
"BEZANSON201433","ARTICLE",14,2014,"Biomedical Engineering"
"BEZANSON2014671","CONFERENCE",1,2014,"Biomedical Engineering"
"MORESIDE20141006","ARTICLE",0,2014,"Biomedical Engineering"
"WILSON20141388","ARTICLE",5,2014,"Biomedical Engineering"
"RUTHERFORD2014206","ARTICLE",0,2014,"Biomedical Engineering"
"MORESIDE2014686","ARTICLE",6,2014,"Biomedical Engineering"
"HUBLEY-KOZEY201487","ARTICLE",3,2014,"Biomedical Engineering"
"BROWN2014101","CONFERENCE",0,2014,"Biomedical Engineering"
"ZHANG20142083","CONFERENCE",0,2014,"Biomedical Engineering"
"LATHAM20142197","CONFERENCE",0,2014,"Biomedical Engineering"
"VERES201454","ARTICLE",14,2014,"Biomedical Engineering"
"HASAN2014566","ARTICLE",4,2014,"Biomedical Engineering"
"PIERLOT2014","ARTICLE",8,2014,"Biomedical Engineering"
"NAVAEI2014701","ARTICLE",4,2014,"Biomedical Engineering"
"BREWER20146956","ARTICLE",7,2014,"Biomedical Engineering"
"BEZANSON2013765","CONFERENCE",0,2013,"Biomedical Engineering"
"BROWN2013549","CONFERENCE",4,2013,"Biomedical Engineering"
"MILNE20131274","ARTICLE",0,2013,"Biomedical Engineering"
"HOLLAND20131634","ARTICLE",20,2013,"Biomedical Engineering"
"SVENNINGSEN20131521","ARTICLE",38,2013,"Biomedical Engineering"
"MOMENI201311","ARTICLE",7,2013,"Biomedical Engineering"
"WEAVER2013409","ARTICLE",0,2013,"Biomedical Engineering"
"MILNE2013781","ARTICLE",1,2013,"Biomedical Engineering"
"ALIAN20131503","ARTICLE",3,2013,"Biomedical Engineering"
"ZHOU2013462","CONFERENCE",0,2013,"Biomedical Engineering"
"KEHOE2013416","ARTICLE",12,2013,"Biomedical Engineering"
"VERES20131907","ARTICLE",6,2013,"Biomedical Engineering"
"BRANDT2013833","ARTICLE",13,2013,"Biomedical Engineering"
"TORBATIAN20131324","ARTICLE",4,2013,"Biomedical Engineering"
"DICKEY20138","ARTICLE",8,2013,"Biomedical Engineering"
"MEEK2013269","ARTICLE",5,2013,"Biomedical Engineering"
"MCDADE20137191","ARTICLE",21,2013,"Biomedical Engineering"
"ROBBINS2013421","ARTICLE",8,2013,"Biomedical Engineering"
"PELOT2013953","ARTICLE",2,2013,"Biomedical Engineering"
"MOMENIBOROUJENI2013827","ARTICLE",3,2013,"Biomedical Engineering"
"BROWN2013","CONFERENCE",0,2013,"Biomedical Engineering"
"VIHVELIN2013","CONFERENCE",0,2013,"Biomedical Engineering"
"RUTHERFORD2013704","ARTICLE",17,2013,"Biomedical Engineering"
"MOMENI2013134","ARTICLE",10,2013,"Biomedical Engineering"
"FEINDEL201371","ARTICLE",3,2013,"Biomedical Engineering"
"VERES2013731","ARTICLE",20,2013,"Biomedical Engineering"
"BHATAWADEKAR2013990","ARTICLE",2,2013,"Biomedical Engineering"
"CHEN201352","ARTICLE",3,2013,"Biomedical Engineering"
"BUTLER2013369","ARTICLE",7,2013,"Biomedical Engineering"
"HUBLEY-KOZEY2013334","ARTICLE",13,2013,"Biomedical Engineering"
"BANCE20131021","ARTICLE",9,2013,"Biomedical Engineering"
"MAZEROLLE2013","ARTICLE",12,2013,"Biomedical Engineering"
"DOANE201339","ARTICLE",1,2013,"Biomedical Engineering"
"WRIGHT201324","ARTICLE",16,2013,"Biomedical Engineering"
"WEST20133","ARTICLE",19,2013,"Biomedical Engineering"
"WEAVER2013811","ARTICLE",1,2013,"Biomedical Engineering"
"MCKNIGHT2013136","ARTICLE",7,2013,"Biomedical Engineering"
"HONG20133","ARTICLE",25,2013,"Biomedical Engineering"
"WEST2013","ARTICLE",26,2013,"Biomedical Engineering"
"BEZANSON20122114","CONFERENCE",6,2012,"Biomedical Engineering"
"TORBATIAN20122208","ARTICLE",3,2012,"Biomedical Engineering"
"GARLAND20122521","CONFERENCE",1,2012,"Biomedical Engineering"
"KEHOE20123388","ARTICLE",9,2012,"Biomedical Engineering"
"KEHOE201213","ARTICLE",9,2012,"Biomedical Engineering"
"HARDING20121234","ARTICLE",26,2012,"Biomedical Engineering"
"WILSON2012936","ARTICLE",3,2012,"Biomedical Engineering"
"COSTELLA20121237","ARTICLE",28,2012,"Biomedical Engineering"
"KEHOE2012180","ARTICLE",5,2012,"Biomedical Engineering"
"WELLS2012","ARTICLE",10,2012,"Biomedical Engineering"
"BRAY20123821","ARTICLE",3,2012,"Biomedical Engineering"
"WOLF20127028","ARTICLE",97,2012,"Biomedical Engineering"
"RUTHERFORD2012974","ARTICLE",11,2012,"Biomedical Engineering"
"HUBLEY-KOZEY2012863","ARTICLE",5,2012,"Biomedical Engineering"
"DUNBAR2012394","ARTICLE",12,2012,"Biomedical Engineering"
"FRASER2012","ARTICLE",13,2012,"Biomedical Engineering"
"ZHANG20121654","ARTICLE",5,2012,"Biomedical Engineering"
"WEST2012455","ARTICLE",6,2012,"Biomedical Engineering"
"BREWER2012753","ARTICLE",3,2012,"Biomedical Engineering"
"VERES20122876","ARTICLE",19,2012,"Biomedical Engineering"
"RODA20121244","ARTICLE",3,2012,"Biomedical Engineering"
"KEHOE2012553","ARTICLE",183,2012,"Biomedical Engineering"
"ALIAN201284","ARTICLE",2,2012,"Biomedical Engineering"
"ASTEPHENWILSON2012210","ARTICLE",39,2012,"Biomedical Engineering"
"HURLEY2012496","ARTICLE",13,2012,"Biomedical Engineering"
"WILSON201236","ARTICLE",27,2012,"Biomedical Engineering"
"MURDOCK2012439","ARTICLE",24,2012,"Biomedical Engineering"
"HONG2012122","ARTICLE",26,2012,"Biomedical Engineering"
"ALIAN20121","ARTICLE",0,2012,"Biomedical Engineering"
"DICKEY2012283","ARTICLE",4,2012,"Biomedical Engineering"
"MILNE201240","ARTICLE",2,2012,"Biomedical Engineering"
"LEARY2012167","ARTICLE",15,2012,"Biomedical Engineering"
"VALLIANT2016256","ARTICLE",0,2016,"Biomedical Engineering"
"MOGHTADAEI20167105","ARTICLE",8,2016,"Biomedical Engineering"
"PIERLOT2016301","ARTICLE",0,2016,"Biomedical Engineering"
"SHIMOKAWA20161036","ARTICLE",5,2016,"Biomedical Engineering"
"REGO2016","ARTICLE",2,2016,"Biomedical Engineering"
"SAMSON2016","CONFERENCE",0,2016,"Biomedical Engineering"
"WOODACRE2016","CONFERENCE",0,2016,"Biomedical Engineering"
"LATHAM2016","CONFERENCE",1,2016,"Biomedical Engineering"
"MACDOUGALL20164621","ARTICLE",2,2016,"Biomedical Engineering"
"DUNPHY201627","ARTICLE",2,2016,"Biomedical Engineering"
"HURLEY2016169","ARTICLE",0,2016,"Biomedical Engineering"
"BAKER20161790","ARTICLE",0,2016,"Biomedical Engineering"
"GRAHAM20162226","ARTICLE",2,2016,"Biomedical Engineering"
"HEROD2016296","ARTICLE",3,2016,"Biomedical Engineering"
"MOMENI2016328","ARTICLE",0,2016,"Biomedical Engineering"
"QUIGLEY2016","ARTICLE",1,2016,"Biomedical Engineering"
"WEATHERBEE-MARTIN20162737","ARTICLE",1,2016,"Biomedical Engineering"
"KO2016739","ARTICLE",0,2016,"Biomedical Engineering"
"KOTIYA2016753","ARTICLE",0,2016,"Biomedical Engineering"
"BALDWIN2016356","ARTICLE",3,2016,"Biomedical Engineering"
"MACDONALD2016184","ARTICLE",0,2016,"Biomedical Engineering"
"GEMMELL2016169","ARTICLE",6,2016,"Biomedical Engineering"
"MILNE2016770","ARTICLE",0,2016,"Biomedical Engineering"
"RAINSBURY2016586","ARTICLE",1,2016,"Biomedical Engineering"
"PETERS2016538","ARTICLE",2,2016,"Biomedical Engineering"
"TAM201647","ARTICLE",4,2016,"Biomedical Engineering"
"BROELL2016","ARTICLE",3,2016,"Biomedical Engineering"
"MACDOUGALL20163","CONFERENCE",0,2016,"Biomedical Engineering"
"MACDOUGALL2016","CONFERENCE",0,2016,"Biomedical Engineering"
"PIERLOT2016151","ARTICLE",2,2016,"Biomedical Engineering"
"VIHVELIN2016404","ARTICLE",5,2016,"Biomedical Engineering"
"LEARY2016","ARTICLE",0,2016,"Biomedical Engineering"
"LEARY20161","ARTICLE",0,2016,"Biomedical Engineering"
"CALAHOO20165585","ARTICLE",1,2016,"Biomedical Engineering"
"MOMENI2016286","ARTICLE",2,2016,"Biomedical Engineering"
"TAM2016777","ARTICLE",6,2016,"Biomedical Engineering"
"KIRI2016732","ARTICLE",2,2016,"Biomedical Engineering"
"MOMENI201625","ARTICLE",4,2016,"Biomedical Engineering"
"COMEAU2016639","ARTICLE",1,2016,"Biomedical Engineering"
"MOGHTADAEI201637","ARTICLE",6,2016,"Biomedical Engineering"
"WIENS2016555","ARTICLE",2,2016,"Biomedical Engineering"
"FARHADI-KHOUZANI20168117","ARTICLE",9,2016,"Biomedical Engineering"
"BREWER201635655","ARTICLE",0,2016,"Biomedical Engineering"
"O'CONNELL20151","ARTICLE",6,2015,"Biomedical Engineering"
"HATFIELD20151146","ARTICLE",1,2015,"Biomedical Engineering"
"FRETER2015212","ARTICLE",7,2015,"Biomedical Engineering"
"KILCUP201583","ARTICLE",1,2015,"Biomedical Engineering"
"SAMSON2015","CONFERENCE",2,2015,"Biomedical Engineering"
"YOUNG20151611","ARTICLE",1,2015,"Biomedical Engineering"
"PADMOS201524627","ARTICLE",0,2015,"Biomedical Engineering"
"TAKEHARA2015","ARTICLE",3,2015,"Biomedical Engineering"
"TAM20151100","ARTICLE",1,2015,"Biomedical Engineering"
"JAHNS201596","ARTICLE",0,2015,"Biomedical Engineering"
"MACDOUGALL201592","ARTICLE",0,2015,"Biomedical Engineering"
"LATHAM201598","ARTICLE",0,2015,"Biomedical Engineering"
"PIERLOT20151772","ARTICLE",3,2015,"Biomedical Engineering"
"DICKEY2015","ARTICLE",0,2015,"Biomedical Engineering"
"LANDRY20151","ARTICLE",2,2015,"Biomedical Engineering"
"FARHADIKHOUZANI20154842","ARTICLE",4,2015,"Biomedical Engineering"
"PADMOS2015","ARTICLE",13,2015,"Biomedical Engineering"
"HASAN20152344","ARTICLE",2,2015,"Biomedical Engineering"
"RUTHERFORD2015578","ARTICLE",6,2015,"Biomedical Engineering"
"KIRI2015285","ARTICLE",1,2015,"Biomedical Engineering"
"MACDOUGALL2015","ARTICLE",11,2015,"Biomedical Engineering"
"KRISHNASWAMY2015125","ARTICLE",7,2015,"Biomedical Engineering"
"BOU-FRANCIS2015219","ARTICLE",0,2015,"Biomedical Engineering"
"FRAMPTON2015445","ARTICLE",0,2015,"Biomedical Engineering"
"CHEVRIER2015193","ARTICLE",8,2015,"Biomedical Engineering"
"PADMOS20153745","ARTICLE",15,2015,"Biomedical Engineering"
"FRAMPTON20151694","ARTICLE",3,2015,"Biomedical Engineering"
"MACDOUGALL2015","CONFERENCE",0,2015,"Biomedical Engineering"
"JANSEN2015383","BOOK",1,2015,"Biomedical Engineering"
"VIHVELIN2015382","CONFERENCE",0,2015,"Biomedical Engineering"
"YANG201533","CONFERENCE",0,2015,"Biomedical Engineering"
"PIERLOT2015H1565","ARTICLE",3,2015,"Biomedical Engineering"
"COMEAU201556","ARTICLE",0,2015,"Biomedical Engineering"
"EGOM20151127","ARTICLE",10,2015,"Biomedical Engineering"
"BHATAWADEKAR2015207","ARTICLE",7,2015,"Biomedical Engineering"
"RUTHERFORD2015944","ARTICLE",1,2015,"Biomedical Engineering"
"ASTEPHENWILSON2015118","ARTICLE",9,2015,"Biomedical Engineering"
"ZHANG20151203","ARTICLE",1,2015,"Biomedical Engineering"
"EL-HAWARY20155","BOOK",0,2015,"Biomedical Engineering"
"HONG2015242","ARTICLE",0,2015,"Biomedical Engineering"
"PADMOS20157472","ARTICLE",7,2015,"Biomedical Engineering"
"AMIRI2015951","ARTICLE",2,2015,"Biomedical Engineering"
"VERES2015397","ARTICLE",4,2015,"Biomedical Engineering"
"KILCUP201593","ARTICLE",2,2015,"Biomedical Engineering"
"BHATAWADEKAR201597","ARTICLE",0,2015,"Biomedical Engineering"
"KILCUP20151445","ARTICLE",1,2015,"Biomedical Engineering"
"RAMIREZ2015816","ARTICLE",4,2015,"Biomedical Engineering"
"FERDOUS20131","ARTICLE",45,2013,"Process Engineering & Applied Science"
"GOMAA20121300","ARTICLE",1,2012,"Process Engineering & Applied Science"
"FERDOUS20128","ARTICLE",30,2012,"Process Engineering & Applied Science"
"KENT20141615","ARTICLE",6,2014,"Civil and Resource Engineering"
"LECAMPION2014197","ARTICLE",26,2014,"Civil and Resource Engineering"
"AHMADI-MOGHADAM2014329","ARTICLE",9,2014,"Civil and Resource Engineering"
"NIE2014425","ARTICLE",2,2014,"Civil and Resource Engineering"
"RAZI201417174","ARTICLE",5,2014,"Civil and Resource Engineering"
"STARK2014469","ARTICLE",6,2014,"Civil and Resource Engineering"
"ALNUAIM201433","ARTICLE",7,2014,"Civil and Resource Engineering"
"KRKOEK201485","ARTICLE",6,2014,"Civil and Resource Engineering"
"MORTULA201430","ARTICLE",0,2014,"Civil and Resource Engineering"
"MEHRZADI2014213","ARTICLE",2,2014,"Civil and Resource Engineering"
"CORBIN2014835","ARTICLE",0,2014,"Civil and Resource Engineering"
"RAHMAN20141","ARTICLE",2,2014,"Civil and Resource Engineering"
"SHADLOU2014371","ARTICLE",2,2014,"Civil and Resource Engineering"
"WRIGHT20141302","ARTICLE",4,2014,"Civil and Resource Engineering"
"STODDART2014E383","ARTICLE",4,2014,"Civil and Resource Engineering"
"ANDERSON20141297","ARTICLE",2,2014,"Civil and Resource Engineering"
"RAHMAN2014461","ARTICLE",1,2014,"Civil and Resource Engineering"
"HAFEZI2014410","CONFERENCE",1,2014,"Civil and Resource Engineering"
"YAO2014281","ARTICLE",2,2014,"Civil and Resource Engineering"
"IRANPOUR2014645","ARTICLE",2,2014,"Civil and Resource Engineering"
"YOUNKER2014135","ARTICLE",5,2014,"Civil and Resource Engineering"
"LEE2014421","ARTICLE",7,2014,"Civil and Resource Engineering"
"AZADEH2014122","ARTICLE",2,2014,"Civil and Resource Engineering"
"SHADLOU2014439","ARTICLE",25,2014,"Civil and Resource Engineering"
"YOUNKER2014692","ARTICLE",12,2014,"Civil and Resource Engineering"
"RAHMAN2014137","ARTICLE",19,2014,"Civil and Resource Engineering"
"AHMADI-MOGHADAM20146180","ARTICLE",24,2014,"Civil and Resource Engineering"
"FATMI201492","ARTICLE",3,2014,"Civil and Resource Engineering"
"PERRIER20141140","ARTICLE",7,2014,"Civil and Resource Engineering"
"KRKOEK2014654","ARTICLE",0,2014,"Civil and Resource Engineering"
"ESLAMI2014","CONFERENCE",0,2014,"Civil and Resource Engineering"
"RAND2014491","ARTICLE",0,2014,"Civil and Resource Engineering"
"CORBIN2014137","ARTICLE",0,2014,"Civil and Resource Engineering"
"BIAN20143059","ARTICLE",2,2014,"Civil and Resource Engineering"
"BORZA201474","ARTICLE",5,2014,"Civil and Resource Engineering"
"BIAN2014114","ARTICLE",0,2014,"Civil and Resource Engineering"
"CHENG20143168","ARTICLE",4,2014,"Civil and Resource Engineering"
"CORBIN20143907","ARTICLE",5,2014,"Civil and Resource Engineering"
"ANDERSON2013","CONFERENCE",0,2013,"Civil and Resource Engineering"
"GRANGER2013","CONFERENCE",0,2013,"Civil and Resource Engineering"
"STODDART201344","CONFERENCE",0,2013,"Civil and Resource Engineering"
"GRANGER2013130","CONFERENCE",0,2013,"Civil and Resource Engineering"
"IRANPOUR2013","ARTICLE",2,2013,"Civil and Resource Engineering"
"ZAMAN2013","CONFERENCE",0,2013,"Civil and Resource Engineering"
"PEI20131308","ARTICLE",2,2013,"Civil and Resource Engineering"
"SAFIURRAHMAN2013149","ARTICLE",22,2013,"Civil and Resource Engineering"
"IRANPOUR20133490","ARTICLE",1,2013,"Civil and Resource Engineering"
"RAND2013426","ARTICLE",3,2013,"Civil and Resource Engineering"
"GANNON2013565","ARTICLE",5,2013,"Civil and Resource Engineering"
"ESMAEEL2013208","ARTICLE",5,2013,"Civil and Resource Engineering"
"TAHERI2013662","BOOK",2,2013,"Civil and Resource Engineering"
"CHEN201313","ARTICLE",10,2013,"Civil and Resource Engineering"
"GIBSON20137199","ARTICLE",17,2013,"Civil and Resource Engineering"
"MEHRZADI2013220","ARTICLE",3,2013,"Civil and Resource Engineering"
"LIU2013909","ARTICLE",3,2013,"Civil and Resource Engineering"
"CAMARA2013","ARTICLE",15,2013,"Civil and Resource Engineering"
"LIU2013331","ARTICLE",9,2013,"Civil and Resource Engineering"
"NEWHOOK2013619","ARTICLE",9,2013,"Civil and Resource Engineering"
"ESLAMI2013151","ARTICLE",3,2013,"Civil and Resource Engineering"
"RAHMAN2013155","ARTICLE",3,2013,"Civil and Resource Engineering"
"AHMADI-MOGHADAM2013245","ARTICLE",5,2013,"Civil and Resource Engineering"
"RAZI2013207","ARTICLE",13,2013,"Civil and Resource Engineering"
"GOREHAM2013351","ARTICLE",3,2013,"Civil and Resource Engineering"
"ESLAMI2013262","ARTICLE",2,2013,"Civil and Resource Engineering"
"GIBSON2013157","ARTICLE",11,2013,"Civil and Resource Engineering"
"ZHANG2013516","ARTICLE",0,2013,"Civil and Resource Engineering"
"LAKE2013423","ARTICLE",0,2013,"Civil and Resource Engineering"
"MEHRZADI20131","ARTICLE",3,2013,"Civil and Resource Engineering"
"LIAO20132713","ARTICLE",0,2013,"Civil and Resource Engineering"
"TAHERI2013413","ARTICLE",3,2013,"Civil and Resource Engineering"
"ENAMULHOSSAIN201265","BOOK",0,2012,"Civil and Resource Engineering"
"ZAMAN2012625","CONFERENCE",0,2012,"Civil and Resource Engineering"
"ANDERSON2012403","ARTICLE",3,2012,"Civil and Resource Engineering"
"ENAMULHOSSAIN201281","BOOK",0,2012,"Civil and Resource Engineering"
"MCVICAR20121332","ARTICLE",6,2012,"Civil and Resource Engineering"
"HAYWARD2012623","CONFERENCE",1,2012,"Civil and Resource Engineering"
"EMAMIAN2012201","ARTICLE",8,2012,"Civil and Resource Engineering"
"CLEMMER20121022","ARTICLE",4,2012,"Civil and Resource Engineering"
"LAMSAL201212","ARTICLE",19,2012,"Civil and Resource Engineering"
"LIU20121170","ARTICLE",0,2012,"Civil and Resource Engineering"
"IRANPOUR20121","ARTICLE",7,2012,"Civil and Resource Engineering"
"GARAGASH2012","ARTICLE",23,2012,"Civil and Resource Engineering"
"LAMSAL2012291","ARTICLE",3,2012,"Civil and Resource Engineering"
"LAMSAL20127","ARTICLE",12,2012,"Civil and Resource Engineering"
"ESMAEEL2012","ARTICLE",6,2012,"Civil and Resource Engineering"
"GANNON201225","ARTICLE",25,2012,"Civil and Resource Engineering"
"NUR-HOSSAIN20121395","ARTICLE",3,2012,"Civil and Resource Engineering"
"ARJOMANDI201217","ARTICLE",16,2012,"Civil and Resource Engineering"
"BIAZAR2012211","ARTICLE",3,2012,"Civil and Resource Engineering"
"EMAMIAN20124495","ARTICLE",20,2012,"Civil and Resource Engineering"
"ALSHURAFA2012","ARTICLE",2,2012,"Civil and Resource Engineering"
"KNOWLES2012689","ARTICLE",10,2012,"Civil and Resource Engineering"
"ZHOU2012120","ARTICLE",21,2012,"Civil and Resource Engineering"
"MEHRZADI201268","ARTICLE",7,2012,"Civil and Resource Engineering"
"CAI2012764","ARTICLE",9,2012,"Civil and Resource Engineering"
"ESLAMI2012","ARTICLE",3,2012,"Civil and Resource Engineering"
"GARAGASH2012","ARTICLE",17,2012,"Civil and Resource Engineering"
"ESMAEEL20121515","ARTICLE",6,2012,"Civil and Resource Engineering"
"ESLAMI2012467","ARTICLE",4,2012,"Civil and Resource Engineering"
"KOT2012446","ARTICLE",0,2012,"Civil and Resource Engineering"
"ESMAEEL2012237","ARTICLE",8,2012,"Civil and Resource Engineering"
"VIESCA2012","ARTICLE",31,2012,"Civil and Resource Engineering"
"BENYAHYA2012475","ARTICLE",15,2012,"Civil and Resource Engineering"
"LIU2012180","ARTICLE",14,2012,"Civil and Resource Engineering"
"HOSSAIN201253","BOOK",0,2012,"Civil and Resource Engineering"
"ENAMULHOSSAIN201231","BOOK",0,2012,"Civil and Resource Engineering"
"MACKIE2012327","ARTICLE",31,2012,"Civil and Resource Engineering"
"KHAN201279","BOOK",0,2012,"Civil and Resource Engineering"
"ENAMULHOSSAIN201213","BOOK",0,2012,"Civil and Resource Engineering"
"KENT2012228","ARTICLE",0,2012,"Civil and Resource Engineering"
"GARAGASH2012197","ARTICLE",3,2012,"Civil and Resource Engineering"
"NOURPANAH201261701-1","ARTICLE",0,2012,"Civil and Resource Engineering"
"TAHERI-BEHROOZ2012174","ARTICLE",5,2012,"Civil and Resource Engineering"
"LI2016332","ARTICLE",0,2016,"Civil and Resource Engineering"
"STODDART2016E615","ARTICLE",0,2016,"Civil and Resource Engineering"
"CORBIN20166339","ARTICLE",0,2016,"Civil and Resource Engineering"
"WROBLEWSKI2016800","ARTICLE",0,2016,"Civil and Resource Engineering"
"FARAJKHAH201695","ARTICLE",2,2016,"Civil and Resource Engineering"
"CORKUM201694","ARTICLE",2,2016,"Civil and Resource Engineering"
"TARGINO2016475","ARTICLE",0,2016,"Civil and Resource Engineering"
"WEN2016","ARTICLE",4,2016,"Civil and Resource Engineering"
"TRUEMAN20169053","ARTICLE",1,2016,"Civil and Resource Engineering"
"WHITMAN2016124","ARTICLE",0,2016,"Civil and Resource Engineering"
